Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,0.205000,0.205000,0.198000,0.198000,0.189778,876400
2017-03-03,0.199000,0.200000,0.199000,0.199000,0.190737,617000
2017-03-06,0.198000,0.199000,0.195000,0.198000,0.189778,691000
2017-03-07,0.198000,0.198000,0.198000,0.198000,0.189778,107900
2017-03-08,0.198000,0.198000,0.198000,0.198000,0.189778,220100
2017-03-09,0.196000,0.199000,0.196000,0.198000,0.189778,634800
2017-03-10,0.198000,0.199000,0.197000,0.197000,0.188820,381100
2017-03-13,0.198000,0.198000,0.197000,0.197000,0.188820,110000
2017-03-14,0.197000,0.198000,0.197000,0.197000,0.188820,175000
2017-03-15,0.197000,0.200000,0.196000,0.200000,0.191695,372100
2017-03-16,0.198000,0.199000,0.197000,0.197000,0.188820,600000
2017-03-17,0.198000,0.198000,0.196000,0.196000,0.187861,340000
2017-03-20,0.196000,0.197000,0.195000,0.197000,0.188820,387500
2017-03-21,0.197000,0.197000,0.195000,0.195000,0.186903,380600
2017-03-22,0.195000,0.195000,0.192000,0.192000,0.184027,810000
2017-03-23,0.192000,0.197000,0.192000,0.197000,0.188820,267000
2017-03-24,0.197000,0.198000,0.194000,0.196000,0.187861,382200
2017-03-27,0.196000,0.197000,0.195000,0.195000,0.186903,141000
2017-03-28,0.197000,0.199000,0.194000,0.197000,0.188820,1601800
2017-03-29,0.196000,0.198000,0.196000,0.198000,0.189778,106000
2017-03-30,0.198000,0.215000,0.198000,0.215000,0.206072,5051100
2017-03-31,0.220000,0.220000,0.205000,0.205000,0.196488,3013000
2017-04-03,0.210000,0.210000,0.205000,0.205000,0.196488,941500
2017-04-04,0.210000,0.210000,0.205000,0.205000,0.196488,1191600
2017-04-05,0.205000,0.205000,0.200000,0.205000,0.196488,1312100
2017-04-06,0.200000,0.205000,0.200000,0.200000,0.191695,684000
2017-04-07,0.205000,0.205000,0.200000,0.205000,0.196488,843000
2017-04-10,0.205000,0.205000,0.200000,0.205000,0.196488,895600
2017-04-11,0.205000,0.205000,0.199000,0.200000,0.191695,595800
2017-04-12,0.200000,0.205000,0.199000,0.200000,0.191695,271800
2017-04-13,0.200000,0.200000,0.197000,0.197000,0.188820,856700
2017-04-17,0.197000,0.199000,0.196000,0.196000,0.187861,318100
2017-04-18,0.198000,0.198000,0.195000,0.195000,0.186903,345100
2017-04-19,0.195000,0.195000,0.194000,0.195000,0.186903,148700
2017-04-20,0.195000,0.195000,0.194000,0.195000,0.186903,312200
2017-04-21,0.196000,0.200000,0.194000,0.200000,0.191695,626900
2017-04-24,0.196000,0.196000,0.194000,0.196000,0.187861,726000
2017-04-25,0.196000,0.196000,0.196000,0.196000,0.187861,260000
2017-04-26,0.196000,0.205000,0.196000,0.205000,0.196488,1131600
2017-04-27,0.205000,0.225000,0.205000,0.215000,0.206072,9658600
2017-04-28,0.225000,0.245000,0.220000,0.235000,0.225242,13324800
2017-05-02,0.240000,0.240000,0.225000,0.230000,0.220450,3877300
2017-05-03,0.225000,0.230000,0.225000,0.230000,0.220450,1740700
2017-05-04,0.230000,0.230000,0.225000,0.225000,0.215657,566500
2017-05-05,0.230000,0.230000,0.220000,0.230000,0.220450,1552200
2017-05-08,0.230000,0.240000,0.230000,0.240000,0.230034,4136500
2017-05-09,0.240000,0.245000,0.235000,0.235000,0.225242,4730400
2017-05-11,0.235000,0.235000,0.225000,0.230000,0.220450,2803500
2017-05-12,0.225000,0.230000,0.220000,0.225000,0.215657,1595100
2017-05-15,0.225000,0.225000,0.210000,0.210000,0.204000,1323800
2017-05-16,0.220000,0.225000,0.210000,0.215000,0.208857,2516900
2017-05-17,0.210000,0.210000,0.205000,0.205000,0.199143,1184800
2017-05-18,0.200000,0.205000,0.200000,0.205000,0.199143,1958400
2017-05-19,0.210000,0.210000,0.205000,0.210000,0.204000,1641200
2017-05-22,0.210000,0.210000,0.210000,0.210000,0.204000,617800
2017-05-23,0.210000,0.220000,0.205000,0.215000,0.208857,2080300
2017-05-24,0.220000,0.230000,0.215000,0.225000,0.218571,1828900
2017-05-25,0.225000,0.225000,0.225000,0.225000,0.218571,1222400
2017-05-26,0.225000,0.230000,0.220000,0.225000,0.218571,1284600
2017-05-29,0.225000,0.225000,0.225000,0.225000,0.218571,1118200
2017-05-30,0.220000,0.225000,0.220000,0.225000,0.218571,52000
2017-05-31,0.225000,0.230000,0.220000,0.225000,0.218571,1176900
2017-06-01,0.225000,0.225000,0.225000,0.225000,0.218571,1219100
2017-06-02,0.225000,0.235000,0.225000,0.230000,0.223429,3648800
2017-06-05,0.230000,0.235000,0.230000,0.230000,0.223429,1548200
2017-06-06,0.230000,0.230000,0.220000,0.230000,0.223429,1246000
2017-06-07,0.225000,0.225000,0.225000,0.225000,0.218571,1055000
2017-06-08,0.225000,0.225000,0.225000,0.225000,0.218571,2323000
2017-06-09,0.225000,0.235000,0.225000,0.230000,0.223429,2089000
2017-06-12,0.230000,0.235000,0.225000,0.225000,0.218571,1445800
2017-06-13,0.230000,0.235000,0.230000,0.230000,0.223429,1909400
2017-06-14,0.235000,0.235000,0.225000,0.225000,0.218571,1132900
2017-06-15,0.235000,0.240000,0.230000,0.235000,0.228286,17164700
2017-06-16,0.235000,0.245000,0.235000,0.240000,0.233143,6949900
2017-06-19,0.240000,0.250000,0.240000,0.250000,0.242857,6086100
2017-06-20,0.250000,0.250000,0.240000,0.240000,0.233143,5134900
2017-06-21,0.240000,0.245000,0.235000,0.240000,0.233143,2595400
2017-06-22,0.240000,0.240000,0.230000,0.230000,0.223429,2677000
2017-06-23,0.230000,0.230000,0.225000,0.225000,0.218571,2456200
2017-06-27,0.225000,0.230000,0.220000,0.220000,0.213714,2010400
2017-06-28,0.220000,0.220000,0.215000,0.215000,0.208857,2526700
2017-06-29,0.220000,0.225000,0.220000,0.220000,0.213714,2279400
2017-06-30,0.220000,0.220000,0.220000,0.220000,0.213714,1253900
2017-07-03,0.225000,0.225000,0.220000,0.225000,0.218571,1474600
2017-07-04,0.225000,0.230000,0.220000,0.225000,0.218571,2954000
2017-07-05,0.225000,0.235000,0.220000,0.230000,0.223429,4411800
2017-07-06,0.230000,0.230000,0.225000,0.225000,0.218571,719100
2017-07-07,0.225000,0.235000,0.225000,0.235000,0.228286,1243700
2017-07-10,0.235000,0.235000,0.230000,0.235000,0.228286,2984300
2017-07-11,0.235000,0.235000,0.230000,0.235000,0.228286,1872300
2017-07-12,0.230000,0.230000,0.225000,0.225000,0.218571,684100
2017-07-13,0.230000,0.230000,0.225000,0.225000,0.218571,1444000
2017-07-14,0.230000,0.230000,0.225000,0.225000,0.218571,561400
2017-07-17,0.230000,0.230000,0.225000,0.225000,0.218571,480600
2017-07-18,0.230000,0.230000,0.225000,0.225000,0.218571,1173100
2017-07-19,0.230000,0.230000,0.225000,0.230000,0.223429,625500
2017-07-20,0.230000,0.235000,0.230000,0.230000,0.223429,6437200
